name,brand,quantity,unit,notes
Mango Cran Snack Medley,Ocean Spray,1,pkg,
Mini Pretzel Twists Original,Good & Gather,1,pkg,
Fruit Snacks Berries & Cherries,Welch's,1,pkg,
Fruit 'n Yogurt Snacks Strawberry,Welch's,1,pkg,20-ct value pack
Hard Candy Zero Sugar,Jolly Rancher,1,pkg,"6.1 oz; watermelon, grape, apple & raspberry"
Hard Candy Original,Jolly Rancher,1,pkg,6.5 oz; fruit punch
Craisins Dried Cranberries 50% Less Sugar,Ocean Spray,1,pkg,
Dill Pickle Sunflower Seeds,BIGS,1,pkg,
Spicy Dill Pickle Sunflower Seeds,BIGS,1,pkg,
Dill Pickle Jumbo Sunflower Seeds,David,1,pkg,
Duos Mango/Jalapeño Beef Jerky,Jack Link's,1,pkg,
Chile Lime Steak Slices,Wild River,1,pkg,3 oz; zero sugar
Dry Roasted Sunflower Kernels,Planters,1,pkg,
Dry Roasted Peanuts Lightly Salted,Planters,1,pkg,
Raw Whole Almonds,Good & Gather,1,pkg,10.5 oz
Roasted Unsalted Peanuts,H-E-B Texas Roots,1,pkg,16 oz
Little Bites Blueberry Muffins,Entenmann's,6,pkg,Individual snack packs
Little Bites Tropical Pineapple,Entenmann's,2,pkg,
Chocolate Squares Milk Choc Caramel Waffle Cone,Ghirardelli,1,pkg,Crunchy
Snickers Pecan,Snickers,2,count,1.41 oz bars
Turkish Moonbites,,1,pkg,
Chocolate Covered Espresso Beans,Trader Joe's,1,pkg,2.5 oz
Original Popping Corn,Orville Redenbacher's,1,pkg,
Blueberry Crumble Granola,Good & Gather,1,pkg,11 oz
Mixed Berry Granola,Good & Gather,1,pkg,12 oz
Wildly Delicious Granola Triple Punch,Bear Naked,1,pkg,46.5 oz
Healthy Grains Peanut Butter Clusters Granola,KIND,2,pkg,17 oz each
Honey Roasted Pecans & Cranberries,Mrs. Cubbison's,1,pkg,3.25 oz
Salad Topper Cranberries & Pecans,Good & Gather,1,pkg,
Salad Toppins Crunchy & Flavorful,McCormick,1,pkg,
Crispy Onions,Fresh Gourmet,1,pkg,3.5 oz
Breakfast Blend K-Cups,Starbucks,2,pkg,
Classic Roast K-Cups,Folgers,1,pkg,
Cinnamon Bun K-Cups,Good & Gather,1,pkg,16 ct
Blueberry Bliss K-Cups,Café Olé,1,pkg,12 ct; medium roast
Caramel Coconut K-Cups Commemorative,Café Olé,1,pkg,12 ct
Original Blend Ground Coffee,Monkey Brew,1,pkg,30 servings; mushroom coffee
Iced Coffee Blend Vanilla K-Cups,Starbucks,1,pkg,10 ct
Coffee Creamer Pods Caramel,International Delight,2,pkg,Total Delight pods
Stevia Leaf Sweetener Packets,Truvia,1,pkg,40 ct
Organic Awake English Breakfast Tea,Tazo,1,pkg,36 ct
Regenerative Organic Awake English Breakfast Black Tea,Tazo,1,pkg,16 bags
Passion Herbal Tea,Tazo,1,pkg,
Blackcurrant Burst Black Tea,Ahmad Tea,1,pkg,
Lemon Zinger Herbal Tea,Celestial Seasonings,1,pkg,Caffeine free
Sleepytime Tea,Celestial Seasonings,1,pkg,
Sleepytime Extra Tea,Celestial Seasonings,1,pkg,
Ginger Peach Turmeric Herbal Tea,Bigelow,1,pkg,18 ct; caffeine free
Organic Throat Coat Tea,Traditional Medicinals,1,pkg,
Black Cask Bourbon Smoky Black Tea,Harney & Sons,1,pkg,Tin; 20 sachets
Cherry Blossom Green Tea,Harney & Sons,1,pkg,Tin
Half & Half Iced Tea & Lemonade K-Cups,H-E-B,1,pkg,12 ct
Clear Protein Strawberry Lemonade,SEEQ,1,pkg,"22g protein, zero sugar"
Kencko Smoothie Powder,Kencko,1,pkg,
Pineapple Pepper Sauce,D'Yanya's,1,count,
Mango Pepper Sauce,D'Yanya's,2,count,
Bahamian Tamarindo Hot Sauce,D'Yanya's,1,count,
Ponzu Sauce,Kikkoman,1,count,
Louisiana Hot Sauce,Louisiana,1,count,
Tiger Sauce,Tiger,1,count,
BBQ Sauce,Baby Ray's,1,count,
Original Teriyaki Marinade & Sauce,Kikkoman,1,count,
Pepper Sauce,Tabasco,1,count,2 oz
Grated Parmesan Cheese,Kraft,1,count,
Spicy Al Pastor Mexican-Style BBQ Sauce,Tenayo,1,count,14.5 oz
Spicy Chili Crisp,,1,count,
Ole Garlic Crisp Dipping Sauce,,1,count,6.5 oz
Natural Creamy Peanut Butter,Jif,2,count,
Traditional Basil Pesto,Classico,1,count,
Creamy Cajun-Inspired Cooking Sauce,H-E-B Select,1,count,
Butter Chicken Cooking Sauce,H-E-B,1,pkg,9 oz; gluten free
Restaurant Style Salsa Medium,Herdez,2,count,Roasted Salsa Verde
Restaurant Style Salsa Medium,Tostitos,1,count,
Restaurant Style Salsa Medium,H-E-B Select,1,count,
Teriyaki Marinade,Lawry's,1,count,12 oz; 5 min marinade
Caribbean Jerk Marinade,Lawry's,1,count,5 min marinade
Hawaiian Style BBQ Marinade,McCormick Grill Mates,1,pkg,
Brown Sugar Bourbon Marinade,McCormick Grill Mates,1,pkg,
Mojito Lime Marinade,McCormick Grill Mates,2,pkg,
Hawaiian Woodfire Grill Marinade,McCormick Grill Mates,2,pkg,30 min marinade
Griller's Choice Marinade,McCormick Grill Mates,1,pkg,
Caribbean Jerk Wing Seasoning Mix,Great Value,1,pkg,
Honey Pepper Chicken Seasoning,Wings of Fury,1,pkg,
Homestyle Baked Beans,Bush's Best,1,count,16 oz
Brown Sugar Hickory Baked Beans,Bush's Best,1,count,
Black Beans (Frijoles Negros),Goya,3,count,15.25 oz each
French Style Green Beans No Salt Added,Del Monte,1,count,
Whole Kernel Corn,H-E-B,2,count,No salt added
Organic Chicken Broth,Pacific Foods,1,pkg,4-pack 8 oz cartons
Rice Sides Herb & Butter,Knorr,1,pkg,
Rice Sides Cilantro Lime Rice,Knorr,1,pkg,
Rice Sides Chicken Flavor,Knorr,2,pkg,
Rice Sides Mexican Style,Knorr,1,pkg,
Pasta Sides Chicken Flavor,Knorr,2,pkg,
Pasta Sides Creamy Garlic,Knorr,2,pkg,
Pasta Sides Teriyaki Noodles,Knorr,1,pkg,
Pasta Sides Parmesan,Knorr,1,pkg,
Garlic & Olive Oil Vermicelli,Rice-A-Roni,1,pkg,
Red Beans & Rice,Zatarain's,1,pkg,Reduced sodium
Creamy Blackened Chicken,Zatarain's,1,pkg,One pot
Ready Rice Cilantro Lime,Ben's Original,1,pkg,
90 Second Jasmine Rice,Good & Gather,1,pkg,
90 Second Whole Grain Brown Rice,Good & Gather,1,pkg,
Yellow Rice,Mahatma,3,pkg,10 oz each; gluten free
Basmati Rice,Mahatma,3,pkg,Multiple bags
Brown Rice,Goya,1,pkg,Large bag
Long Grain Brown Rice,H-E-B,1,pkg,
Chickpea Curry with Steamed Rice,Food Earth,1,count,
Spaghetti,H-E-B,1,pkg,16 oz
Kitchen Alchemy Citric Acid,H-E-B Meal Prep,3,pkg,
Coarse Kosher Salt,Good & Gather,1,count,Large canister
Coarse Black Pepper,Good & Gather,1,count,
Granulated Black Pepper,Good & Gather,1,count,
"The Blend (Salt, Pepper & Garlic)",Kinder's,1,count,
Garlic Powder,Kinder's,1,count,
Whiskey Applewood Seasoning,Kinder's,1,count,
Black Cherry Chipotle Seasoning,Kinder's,1,count,
Onion Powder,McCormick,1,count,
Oregano Leaves,McCormick,2,count,
Ancho Chili Powder,McCormick,1,count,
Grill Mates Chili Garlic Tri-Tip Seasoning,McCormick,1,count,
Grill Mates Smokehouse Maple Seasoning,McCormick,1,count,
Cinnamon Sticks,McCormick,1,count,
Very Good Garlic All Purpose Seasoning,McCormick,1,count,Tabitha Brown
Sunshine All Purpose Seasoning,McCormick,1,count,Tabitha Brown
Smoked Paprika,Good & Gather,1,count,
Salt-Free Lemon Pepper Seasoning,Good & Gather,1,count,
Tajín Classic,Tajín,1,count,
Tajín Twist,Tajín,1,count,
Movie Theater Butter Salt Popcorn Seasoning,Kernel Season's,2,count,
Chile Limón Popcorn Seasoning,Kernel Season's,2,count,
Cajun Seasoning White Pepper Blend,Slap Ya Mama,2,count,
Cajun Seasoning Original Blend,Slap Ya Mama,1,count,Large canister
Original Creole Seasoning,Tony Chachere's,1,count,Large canister
Premium Creole Seasoning,O-My,2,count,
Cajun Step Seasoning,Cajun Step,2,count,
Sweet Cinnamon Heat Seasoning & Rub,Fireball,1,count,
Hawaiian Chile Seasoning,Weber,1,count,
Salt-Free Lemon Pepper Seasoning,Gourmet Warehouse,1,count,
Chicken Rub Savory Garlic,Famous Dave's,1,count,Poultry perfection
Hollywood Seasoning,Hollywood,1,count,
Organic Apple Cider Vinegar Raw Unfiltered,Bragg,1,count,16 oz
Organic Apple Cider Vinegar,Good & Gather,1,count,16 oz
Apple Cider Vinegar,Good & Gather,1,count,
White Wine Vinegar,Pompeian,1,count,
Red Wine Vinegar,Good & Gather,1,count,
Rice Vinegar,Good & Gather,1,count,
Worcestershire Sauce,Lea & Perrins,1,count,
Extra Virgin Olive Oil,Kirkland,1,count,Large bottle
Olive Oil Cooking Spray,PAM,1,count,
Classic Oil & Vinegar Dressing,Newman's Own,1,count,
Balsamic Vinaigrette Dressing,Wish-Bone,1,count,
Organic Cane Sugar,Good & Gather,1,pkg,
Pure Cane Light Brown Sugar,C&H,1,pkg,
Organic Blue Agave Sweetener,Health Garden,1,pkg,Low glycemic index
Organic Raw Agave Nectar,Good & Gather,1,count,23.5 oz
Organic Light Agave Nectar,Good & Gather,1,count,23.5 oz
Organic Light Agave,Agave in the Raw,1,count,
Organic Honey,,1,count,Small jar
Local Texas Wildflower Honey,Kelley's,1,count,
Hot Honey,Mike's Hot Honey,2,count,Infused with chilies
Hot Honey with Crisp Chili Dipping Sauce,,1,count,
Tuscan Blue Rosemary & Pepper Honey,,1,count,Small jar
Lucky Lime Sea Salt Honey,,1,count,Small jar
Blackland Prairie Wildflower Honey,,1,count,Small jar
Pineapple Puree Infused Syrup,Real,1,count,16.9 fl oz / 500 ml; cocktail mixer
Black Cherry Puree Infused Syrup,Real,1,count,16.9 fl oz / 500 ml; cocktail mixer
100% Lime Juice,ReaLime,1,count,Green bottle with yellow cap
Energy Zero Sugar Sour Watermelon,Ghost,1,count,Warheads collab; 16 oz can
Hamburger Dill Chips,Mt. Olive,1,count,16 fl oz jar
Sliced Manzanilla Olives,Spice World,1,count,5.75 oz
Snack Olives Pitted Kalamata,Good & Gather,1,pkg,
Snack Olives Pitted Green with Garlic,Good & Gather,1,pkg,
Green Olive Bites Lemon & Thyme,,1,pkg,Snack pouch
Fresh Garlic,Spice World,3,count,3 bulbs; refrigerated
Eggs,,6,count,Approximate count from mesh bag
Natural Cheese Sharp Cheddar Shredded,H-E-B,1,pkg,8 oz / 226g
Mexican-Style Classic Shredded Cheese,Good & Gather,1,pkg,
Natural Cheese Sharp Cheddar Sliced 2% Milk,H-E-B,1,pkg,Reduced fat
Butter with Canola Oil,Land O'Lakes,1,count,Spreadable tub
2% Reduced Fat Milk Lactose Free,Lactaid,1,count,Half gallon / 1.89 L
Organic Spring Mix,Good & Gather,1,pkg,5 oz; best by Mar 04 2026
Tri-Pepper Mix,Taylor Farms,1,pkg,"5 oz; red, yellow, green pepper blend"
Pineapple Spears,Taylor Farms,1,count,16 oz
Oven Roasted Turkey Breast,Hillshire Farm,1,pkg,2.76 oz lunchmeat
Organic Boneless Skinless Thin Sliced Chicken Breasts,Good & Gather,1,pkg,Fresh; refrigerated
Cara Cara Oranges,,1,pkg,Bag; seedless
Sweet & Juicy Navel Oranges,,1,pkg,4 lb bag
Sun Beams Mandarins,Good & Gather,1,pkg,Peel and eat
Organic Fresh Oregano,Good & Gather,1,pkg,Fresh herb; refrigerated
Simply Vinaigrette Caesar Dressing,Ken's Steak House,1,count,16 fl oz
Classic Yellow Mustard,French's,1,count,
Sandwich Pal Sweet & Spicy Mustard,Woeber's,1,count,
Pasta Sauce Flavored with Meat,Prego,1,count,
Hand Crafted Gochujang Sauce,bettergoods,1,count,
D'Yanya's Hot Sauce,D'Yanya's,1,count,Refrigerated; variety unclear
Sesame Teriyaki Sauce,Good & Gather,1,count,
Garlic Pepper Sauce,Tabasco,1,count,Green label
Mandarin Orange Sauce,Panda Express,1,count,
Smoked Chipotle Pepper Sauce,Tabasco,1,count,Gray/black label
Mongolian Garlic Sauce,Good & Gather,1,count,
Original Hot Sauce,Cholula,1,count,
Chili Lime Hot Sauce,,1,count,
Raspberry Chipotle Barbecue Sauce,Blues Hog,1,count,25 oz
Tomato Ketchup,Heinz,1,count,32 oz / 2 lb
Hickory & Brown Sugar Barbecue Sauce,Sweet Baby Ray's,1,count,28 oz
Lemon Lime Hot Sauce,Burman's,1,count,
Classic Root Beer Prebiotic Soda,OLIPOP,1,count,12 fl oz; 3g fiber
Cherry Cola Prebiotic Soda,OLIPOP,1,count,12 fl oz
Tropical Punch Prebiotic Soda,OLIPOP,3,count,7.5 fl oz mini cans
Frozen Cut Spinach,H-E-B,1,pkg,
Fusions Veggie & Rice Sides Broccoli Rice Pilaf,Birds Eye,1,pkg,11 oz; butter sauce
Seasoned Asian Medley Steamfresh,Birds Eye,1,pkg,10.8 oz
Chicken Sausage Spinach Feta,H-E-B,1,pkg,Frozen; ready to cook
Frozen Diced Chicken Breasts,Good & Gather,1,pkg,Boneless skinless; no antibiotics ever
Frozen Ricotta and Lemon Ravioli,Good & Gather,1,pkg,Restaurant inspired; durum wheat pasta
Frozen Burger Patty,,1,count,Homemade; frozen in clear bag
Frozen Meat,,1,count,Homemade; frozen in clear bag; type unclear
Frozen Mixed Fruit Blend,,1,pkg,"Homemade; Hefty bag; strawberries, mango, mixed berries"
Caramel Cookie Crunch Mix-Ins Ice Cream,Halo Top,1,count,490 cal; light ice cream
Watermelon Taffy Ice Cream,Jeni's,1,count,
Veggie & Rice Sides Broccoli Rice Pilaf,Green Giant,1,pkg,Microwave steam bag
Corn Cob Bites Street Style,Green Giant,1,pkg,16 oz; no artificial colors
Café Steamers Turkey Sausage Lasagna Bowl,Healthy Choice,1,count,Frozen meal
Tapatio Salsa Roja Chicken Bowl,Tapatio,1,count,Frozen meal
On Track High Protein Bowl,Healthy Choice,1,count,GLP-1 friendly frozen meal
Boneless Skinless Chicken Breast,Great Value,1,pkg,Frozen; bulk bag